AID	TelemDate	TimeLag	AEA_X	AEA_Y
29	2007-03-01 02:00:00.000	180	-1067280.42864547	2493408.03007537
29	2007-03-01 05:00:00.000	180	-1067269.48342664	2493400.83479275
29	2007-03-01 08:00:00.000	180	-1067452.34950062	2494168.35676998
29	2007-03-01 11:00:00.000	180	-1067848.16464293	2495109.31822318
29	2007-03-01 14:00:00.000	180	-1067841.50578632	2495255.71390453
29	2007-03-01 17:00:00.000	180	-1067737.41914435	2494890.94190134
29	2007-03-01 20:00:00.000	180	-1067596.12821272	2494295.86096084
29	2007-03-01 23:00:00.000	180	-1067142.92264637	2493876.47411487
29	2007-03-02 02:00:00.000	180	-1067031.04730724	2493754.68338953
29	2007-03-02 05:00:00.000	180	-1067043.71316751	2494072.57860933
29	2007-03-02 08:00:00.000	180	-1067945.62948971	2494936.59740811
29	2007-03-02 11:00:00.000	180	-1069107.90227002	2496536.71094506
29	2007-03-02 14:00:00.000	180	-1069141.19395929	2496638.23526981
29	2007-03-02 17:00:00.000	180	-1068813.09835914	2495955.51766311
29	2007-03-02 20:00:00.000	180	-1068092.9671304	2495900.37032497
29	2007-03-02 23:00:00.000	180	-1067701.92797973	2495727.20992887
29	2007-03-03 02:00:00.000	180	-1067483.0542262	2495033.25904883
29	2007-03-03 05:00:00.000	180	-1067615.37514475	2494589.9570108
29	2007-03-03 08:00:00.000	180	-1067984.45454135	2496038.87792493
29	2007-03-03 11:00:00.000	180	-1068004.30472574	2496506.27612895
29	2007-03-03 14:00:00.000	180	-1068025.02653286	2496556.49555543
29	2007-03-03 17:00:00.000	180	-1068029.63514465	2496152.22699279
29	2007-03-03 20:00:00.000	180	-1067701.42090503	2495085.99072332
29	2007-03-03 23:00:00.000	180	-1067616.51927522	2495043.42682189
29	2007-03-04 02:00:00.000	180	-1067227.2664518	2494190.03562343
29	2007-03-04 05:00:00.000	180	-1067316.11818751	2494216.28846794
29	2007-03-04 08:00:00.000	180	-1067915.1267234	2495954.67939041
29	2007-03-04 11:00:00.000	180	-1068056.44097959	2496665.61656774
29	2007-03-04 14:00:00.000	180	-1067953.30587119	2496955.61628226
29	2007-03-04 17:00:00.000	180	-1068005.76379238	2496112.80294107
29	2007-03-04 20:00:00.000	180	-1067188.38045766	2493932.4914818
29	2007-03-04 23:00:00.000	180	-1067354.90135513	2493528.95514552
