recno,longitud,latitude,animal,ptt,thetime,lc94,sentype,herd
     1,-125.10300,  73.98500,pb_00668,  6350,02MAY92:22:00:07,L1,Diurnal_LowV,BEA 
     2,-125.02600,  73.98800,pb_00668,  6350,02MAY92:22:35:02,L1,Diurnal_LowV,BEA 
     3,-125.03100,  74.01100,pb_00668,  6350,02MAY92:23:37:58,L0,Diurnal_LowV,BEA 
     4,-124.98500,  74.02400,pb_00668,  6350,03MAY92:00:09:26,LA,Diurnal_LowV,BEA 
     5,-125.36200,  74.01200,pb_00668,  6350,03MAY92:21:47:25,L2,Diurnal_LowV,BEA 
     6,-125.45300,  74.00500,pb_00668,  6350,03MAY92:22:12:30,L3,Diurnal_LowV,BEA 
     7,-125.52700,  74.02900,pb_00668,  6350,03MAY92:23:27:15,L2,Diurnal_LowV,BEA 
     8,-125.63800,  74.02800,pb_00668,  6350,03MAY92:23:51:50,L2,Diurnal_LowV,BEA 
     9,-125.85700,  74.32500,pb_00668,  6350,09MAY92:23:54:54,L0,Diurnal_LowV,BEA 
    10,-125.26200,  74.39800,pb_00668,  6350,11MAY92:00:43:11,L1,Diurnal_LowV,BEA 
    11,-123.29700,  74.43100,pb_00668,  6350,17MAY92:22:14:22,L1,Diurnal_LowV,BEA 
    12,-123.28200,  74.45800,pb_00668,  6350,17MAY92:22:19:47,L2,Diurnal_LowV,BEA 
    13,-123.32300,  74.45200,pb_00668,  6350,17MAY92:23:55:40,L1,Diurnal_LowV,BEA 
    14,-125.08400,  73.98300,pb_00668,  6350,23MAY92:23:27:40,L1,Diurnal_LowV,BEA 
    15,-125.13100,  73.98000,pb_00668,  6350,24MAY92:00:31:35,L1,Diurnal_LowV,BEA 
    16,-125.18800,  74.09900,pb_00668,  6350,24MAY92:21:26:18,L2,Diurnal_LowV,BEA 
    17,-125.06500,  74.14500,pb_00668,  6350,24MAY92:22:39:34,LA,Diurnal_LowV,BEA 
    18,-125.24500,  74.12900,pb_00668,  6350,24MAY92:23:05:37,L2,Diurnal_LowV,BEA 
    19,-125.21400,  74.14800,pb_00668,  6350,25MAY92:00:18:53,L1,Diurnal_LowV,BEA 
    20,-125.30100,  74.14000,pb_00668,  6350,25MAY92:00:43:58,L1,Diurnal_LowV,BEA 
