"brewery_id"	"brewery_name"	"city"	"state"	"lon"	"lat"	"address"
0	"NorthGate Brewing "	"Minneapolis"	" MN"	-93.2211744	44.9983322	"783 harding st ne, minneapolis, mn 55413, usa"
1	"Against the Grain Brewery"	"Louisville"	" KY"	-85.7440216	38.2554896	"401 e main st, louisville, ky 40202, usa"
2	"Jack's Abby Craft Lagers"	"Framingham"	" MA"	-71.4111676	42.2801844	"100 clinton st, framingham, ma 01702, usa"
3	"Mike Hess Brewing Company"	"San Diego"	" CA"	-117.1285406	32.7477013	"3812 grim ave, san diego, ca 92104, usa"
4	"Fort Point Beer Company"	"San Francisco"	" CA"	-122.4648565	37.8030556	"644 mason st, san francisco, ca 94129, usa"
5	"COAST Brewing Company"	"Charleston"	" SC"	-79.9720038	32.8735877	"1250 2nd st n, north charleston, sc 29405, usa"
6	"Great Divide Brewing Company"	"Denver"	" CO"	-104.9885278	39.7538085	"2201 arapahoe st, denver, co 80205, usa"
7	"Tapistry Brewing"	"Bridgman"	" MI"	-86.556101	41.9427766	"4236 lake st, bridgman, mi 49106, usa"
8	"Big Lake Brewing"	"Holland"	" MI"	-86.107906	42.791459	"13 w 7th st, holland, mi 49423, usa"
9	"The Mitten Brewing Company"	"Grand Rapids"	" MI"	-85.6811017	42.9851272	"527 leonard st nw, grand rapids, mi 49504, usa"
10	"Brewery Vivant"	"Grand Rapids"	" MI"	-85.646297	42.9597498	"925 cherry st se, grand rapids, mi 49506, usa"
11	"Petoskey Brewing"	"Petoskey"	" MI"	-84.9030441	45.3968008	"1844 m 119 harbor-petoskey road, petoskey, mi 49770, usa"
12	"Blackrocks Brewery"	"Marquette"	" MI"	-87.394566	46.546967	"424 n 3rd st, marquette, mi 49855, usa"
13	"Perrin Brewing Company"	"Comstock Park"	" MI"	-85.6814191	43.0713315	"5910 comstock park dr nw, comstock park, mi 49321, usa"
14	"Witch's Hat Brewing Company"	"South Lyon"	" MI"	-83.6503368	42.4545565	"601 s lafayette st, south lyon, mi 48178, usa"
15	"Founders Brewing Company"	"Grand Rapids"	" MI"	-85.674192	42.958352	"235 grandville ave sw, grand rapids, mi 49503, usa"
16	"Flat 12 Bierwerks"	"Indianapolis"	" IN"	-86.138683	39.772835	"414 dorman st, indianapolis, in 46202, usa"
17	"Tin Man Brewing Company"	"Evansville"	" IN"	-87.5854288	37.980216	"1430 w franklin st, evansville, in 47710, usa"
18	"Black Acre Brewing Co."	"Indianapolis"	" IN"	-86.0709176	39.7709647	"5632 e washington st, indianapolis, in 46219, usa"
19	"Brew Link Brewing"	"Plainfield"	" IN"	-86.4007144	39.7038701	"212 e main st, plainfield, in 46168, usa"
20	"Bare Hands Brewery"	"Granger"	" IN"	-86.117797	41.760219	"12804 sandy ct, granger, in 46530, usa"
21	"Three Pints Brewing"	"Martinsville"	" IN"	-86.3701849	39.677991	"5020 cambridge way, plainfield, in 46168, usa"
22	"Four Fathers Brewing "	"Valparaiso"	" IN"	-87.080021	41.4733592	"1555 w lincolnway, valparaiso, in 46385, usa"
23	"Indiana City Brewing"	"Indianapolis"	" IN"	-86.141221	39.766067	"24 shelby st, indianapolis, in 46202, usa"
24	"Burn 'Em Brewing"	"Michigan City"	" IN"	-86.828022	41.738628	"718 freyer rd, michigan city, in 46360, usa"
25	"Sun King Brewing Company"	"Indianapolis"	" IN"	-86.1446901	39.7690552	"135 n college ave, indianapolis, in 46202, usa"
26	"Evil Czech Brewery"	"Mishawaka"	" IN"	-86.1822832	41.693945	"3703 n main st, mishawaka, in 46545, usa"
27	"450 North Brewing Company"	"Columbus"	" IN"	-85.8320774	39.2678494	"8111 e 450 n, columbus, in 47203, usa"
28	"Taxman Brewing Company"	"Bargersville"	" IN"	-86.1670716	39.5209551	"13 s baldwin st, bargersville, in 46106, usa"
29	"Cedar Creek Brewery"	"Seven Points"	" TX"	-96.206841	32.322979	"336 e cedar creek pkwy, seven points, tx 75143, usa"
30	"SanTan Brewing Company"	"Chandler"	" AZ"	-111.8424385	33.3032251	"8 s san marcos pl, chandler, az 85225, usa"
31	"Boulevard Brewing Company"	"Kansas City"	" MO"	-94.596736	39.082097	"2501 southwest blvd, kansas city, mo 64108, usa"
32	"James Page Brewing Company"	"Stevens Point"	" WI"	-89.5736285	44.5103897	"2617 water st, stevens point, wi 54481, usa"
33	"The Dudes' Brewing Company"	"Torrance"	" CA"	-118.311439	33.841623	"1840 w 208th st, torrance, ca 90501, usa"
34	"Ballast Point Brewing Company"	"San Diego"	" CA"	-117.157947	32.888093	"9045 carroll way, san diego, ca 92121, usa"
35	"Anchor Brewing Company"	"San Francisco"	" CA"	-122.4010392	37.7634098	"1705 mariposa st, san francisco, ca 94107, usa"
36	"Figueroa Mountain Brewing Company"	"Buellton"	" CA"	-120.202302	34.610657	"45 industrial way, buellton, ca 93427, usa"
