"Species","Capture History","Length","Weight","Wr","Mark","Tag","Sex","Mort?"
"SRC","M1","13.9","","","","","","N"
"SRC","M1","13.2","","","","","","N"
"SRC","M1","13.9","","","","","","N"
"SRC","M1","16.8","","","","","","N"
"SRC","M1","14.2","","","","","","N"
"SRC","M1","12","","","","","","N"
"SRC","M1","15.4","","","","","","N"
"SRC","M1","14.8","","","","","","N"
"SRC","M1","14.9","","","","","","N"
"SRC","M1","11.4","","","","","","N"
"SRC","M1","16.7","","","","","","N"
"SRC","M1","13.2","","","","","","N"
"SRC","M1","14.8","","","","","","N"
"SRC","M1","9.7","","","","","","N"
"SRC","M1","6.6","","","","","","N"
"SRC","M1","10.7","","","","","","N"
"SRC","M1","13.7","","","","","","N"
"SRC","M1","17.2","","","","","","N"
"SRC","M1","12.5","","","","","","N"
"SRC","M1","15.5","","","","","","N"
"SRC","M1","16.5","","","","","","N"
"SRC","M1","8.5","","","","","","N"
"SRC","M1","5.5","","","","","","N"
"SRC","M1","11.8","","","","","","N"
"SRC","M1","9.9","","","","","","N"
"BNT","P1","8.6","","","","","","N"
"BNT","P1","9.1","","","","","","N"
"SRC","M1","13.9","","","","","","N"
"SRC","M1","12","","","","","","N"
"SRC","M1","12.2","","","","","","N"
"SRC","M1","15","","","","","","N"
"SRC","M1","16.7","","","","","","N"
"SRC","M1","11.1","","","","","","N"
"SRC","M1","14.7","","","","","","N"
"SRC","M1","16.9","","","","","","N"
"SRC","M1","12.8","","","","","","N"
"SRC","M1","16.4","","","","","","N"
"SRC","M1","6.3","","","","","","N"
"SRC","M1","15.1","","","","","","N"
"SRC","M1","12","","","","","","N"
"SRC","M1","14.4","","","","","","N"
"SRC","M1","5.1","","","","","","N"
"SRC","M1","11.1","","","","","","N"
"SRC","M1","7.9","","","","","","N"
"SRC","M1","7.4","","","","","","N"
"SRC","M1","5.8","","","","","","N"
"SRC","M1","6.7","","","","","","N"
"SRC","M1","4.5","","","","","","N"
"SRC","M1","8.5","","","","","","N"
"SRC","M1","16.6","","","","","","N"
"SRC","M1","11.4","","","","","","N"
"SRC","M1","15","","","","","","N"
"SRC","M1","14.1","","","","","","N"
"SRC","M1","12.5","","","","","","N"
"SRC","M1","11.4","","","","","","N"
"SRC","M1","20","","","","","","N"
"SRC","M1","11.7","","","","","","N"
"SRC","M1","12.5","","","","","","N"
"SRC","M1","17.4","","","","","","N"
"SRC","M1","15.1","","","","","","N"
"SRC","M1","11.7","","","","","","N"
"SRC","M1","12.2","","","","","","N"
"SRC","M1","17.4","","","","","","N"
"SRC","M1","13.9","","","","","","N"
"SRC","M1","10.2","","","","","","N"
"SRC","M1","14.1","","","","","","N"
"SRC","M1","14.4","","","","","","N"
"SRC","M1","19","","","","","","N"
"SRC","M1","16.8","","","","","","N"
"SRC","M1","14","","","","","","N"
"SRC","M1","11.3","","","","","","N"
"SRC","M1","11.6","","","","","","N"
"SRC","M1","14.3","","","","","","N"
"SRC","M1","13.9","","","","","","N"
